std_inchi_key,receptor_name,Standard_Value,pChEMBL_Value
AJYPSMBESAILOW-UHFFFAOYSA-N,ERa,1309.0,5.88
AJYPSMBESAILOW-UHFFFAOYSA-N,ERb,27.0,7.57
AJZYCLUWDCVNLC-UHFFFAOYSA-N,ERb,2002.21,5.7
AKAPBPNIIAPPPT-JDEMJVTFSA-N,ERb,5.3,8.28
AKCOSDIBWNSUIS-GASCZTMLSA-N,ERa,380.0,6.42
AKJDQSUALPRWSD-UHFFFAOYSA-N,GR,57.0,7.24
AKJDQSUALPRWSD-UHFFFAOYSA-N,PR,59.0,7.23
AKLLWOBSHZXVLR-UHFFFAOYSA-N,ERa,48473.0,4.32
AKMUGEXFTSZYPE-AYRHNUGRSA-N,GR,13.25,7.92
AKMUGEXFTSZYPE-AYRHNUGRSA-N,PR,238.0,6.62
AKRFUARLUXZAGZ-UHFFFAOYSA-N,GR,15.14,7.82
AKRKKOYYGGSJRD-GDLZYMKVSA-N,ERa,0.3,9.52
AKRKKOYYGGSJRD-GDLZYMKVSA-N,ERb,0.5,9.3
AKRKKOYYGGSJRD-LJAQVGFWSA-N,ERa,5.8,8.24
AKRKKOYYGGSJRD-LJAQVGFWSA-N,ERb,54.0,7.27
AKVKAFLTKMIROA-UHFFFAOYSA-N,GR,77.0,7.11
AKVKAFLTKMIROA-UHFFFAOYSA-N,MR,1100.0,5.96
ALBDCSZUIZWSIO-UHFFFAOYSA-N,PR,26.0,7.58
ALDWINSGSURGLP-UHFFFAOYSA-N,GR,11.0,7.96
ALDWINSGSURGLP-UHFFFAOYSA-N,MR,300.0,6.52
ALDWINSGSURGLP-UHFFFAOYSA-N,PR,390.0,6.41
ALFPDSDPOIMKOF-UHFFFAOYSA-N,ERa,35192.99,4.45
ALLJOJGFZFRYAA-QFIPXVFZSA-N,AR,93.3,7.445
ALLLCXOCQPZSSG-UHFFFAOYSA-N,PR,449.0,6.35
ALMASABXCFFRHW-UHFFFAOYSA-N,AR,340.0,6.47
ALNLKXXOMGFZNP-UHFFFAOYSA-N,ERa,233.465,6.654999999999999
ALNLKXXOMGFZNP-UHFFFAOYSA-N,ERb,3901.205,6.050000000000001
ALODTGZPEZGVDL-UHFFFAOYSA-N,AR,69.0,7.16
ALPRHVRABPVNJO-IBGZPJMESA-N,AR,191.0,6.765
ALZVAGBHXQHAIA-UHFFFAOYSA-N,ERb,2611.21,5.58
AMARDZYZWOUIBS-UHFFFAOYSA-N,AR,1201.13,5.92
AMCBONFIXAFCBY-GXZWQRSESA-N,GR,7.1,8.15
AMCBONFIXAFCBY-PZPWOCDFSA-N,GR,8.4,8.08
AMCBONFIXAFCBY-QQVJTJINSA-N,GR,3.1,8.51
AMCZOZAJTWMWJG-ILWGZMRPSA-N,PR,0.4,9.4
AMFHXCAGSKYZAM-XYPYZODXSA-N,PR,43.0,7.37
AMGFCHULXKRDJH-UHFFFAOYSA-N,ERa,10.9,7.96
AMGFCHULXKRDJH-UHFFFAOYSA-N,ERb,16.3,7.79
AMHQHODPRWKKPO-ZUOKHONESA-N,ERa,62.46,7.235
AMHQHODPRWKKPO-ZUOKHONESA-N,PR,724.44,6.14
AMHZSUNTLRXYDX-UHFFFAOYSA-N,ERa,43814.0,4.36
AMHZSUNTLRXYDX-UHFFFAOYSA-N,ERb,3842.0,5.42
AMIFKUCPDVXAKP-UHFFFAOYSA-N,MR,250.0,6.640000000000001
AMIFKUCPDVXAKP-UHFFFAOYSA-N,PR,2500.0,5.6
AMIQXRSRYGHNLV-UHFFFAOYSA-N,ERa,484.0,6.32
AMIQXRSRYGHNLV-UHFFFAOYSA-N,ERb,14.0,7.85
AMISCVYQYZIUFE-OAHLLOKOSA-N,ERa,53.6,7.27
AMISCVYQYZIUFE-OAHLLOKOSA-N,ERb,8.9,8.05
AMNOCXJZMUDZBX-SJCJKPOMSA-N,AR,545.0,6.605
AMSBRQDLADKBGS-WKBNKQBUSA-N,ERa,278.55,6.635
AMSHGNLYOCWZQJ-FQEVSTJZSA-N,AR,5.8999999999999995,8.465
ANAZSDQDBFVJNX-AALJUNBXSA-N,GR,15.0,7.82
ANFHSVOTUGCGOQ-UHFFFAOYSA-N,AR,1600.0,5.8
ANHRPXJSXCDUNL-UHFFFAOYSA-N,ERa,14821.67,4.83
ANIOYQXTAMMUKZ-UHFFFAOYSA-N,AR,1400.0,5.85
ANIOYQXTAMMUKZ-UHFFFAOYSA-N,GR,9.3,8.03
ANIOYQXTAMMUKZ-UHFFFAOYSA-N,MR,1100.0,5.96
ANIOYQXTAMMUKZ-UHFFFAOYSA-N,PR,26.87,8.205
ANMCTAWGJSYPPA-UHFFFAOYSA-N,ERa,3.7,8.43
ANNIECGGSUYLMZ-UHFFFAOYSA-N,ERa,79.0,7.1
ANNIECGGSUYLMZ-UHFFFAOYSA-N,ERb,4.4,8.36
ANPFZNKOHNLVIS-UHFFFAOYSA-N,GR,61.0,7.32
ANPFZNKOHNLVIS-UHFFFAOYSA-N,PR,8.0,8.1
ANRVJQZMCWCTRO-UHFFFAOYSA-N,AR,1.4,8.85
ANWMFPKWFILNBY-UHFFFAOYSA-N,ERa,2470.0,5.61
ANWMFPKWFILNBY-UHFFFAOYSA-N,ERb,140.0,6.85
AODRPDCFMBWYCQ-UHFFFAOYSA-N,PR,137.7,6.86
AOPMQYFRYJEINB-UHFFFAOYSA-N,ERb,18007.88,4.75
AOQCXARLJLESBQ-MDWZMJQESA-N,ERa,5.9,8.23
AOQCXARLJLESBQ-MDWZMJQESA-N,ERb,4.8,8.32
AOQJCULCZPADGV-KEKNWZKVSA-N,ERa,1470.0,5.83
AOQJCULCZPADGV-KEKNWZKVSA-N,ERb,23000.0,4.64
AORALRKWFBWVFP-MKCFTUBBSA-N,ERa,33.3,7.48
AOUGZVKCLQLQNU-HSZRJFAPSA-N,ERb,96000.0,4.02
AOWCVRXIHIHAPN-UHFFFAOYSA-N,ERa,105.0,6.98
AOWCVRXIHIHAPN-UHFFFAOYSA-N,ERb,2.3,8.64
AOWPNEHSNGFHED-BCDQZHESSA-N,ERa,0.5,9.3
AOXRBFRFYPMWLR-XGXHKTLJSA-N,ERa,720.5,6.225
APAJFZPFBHMFQR-UHFFFAOYSA-N,ERa,705.0,6.234999999999999
APAJFZPFBHMFQR-UHFFFAOYSA-N,ERb,1545.0,5.890000000000001
APDOEOQZQMSOFL-IMSIIYSGSA-N,AR,94.0,7.03
APGSUVBRVVNRPJ-UHFFFAOYSA-N,AR,124.0,6.96
APIVWORSVXKTBM-UHFFFAOYSA-N,ERa,120.0,6.92
APIVWORSVXKTBM-UHFFFAOYSA-N,ERb,780.0,6.11
APLJSSOXDWUNGV-GOSISDBHSA-N,ERa,1.0,9.0
APLJSSOXDWUNGV-GOSISDBHSA-N,ERb,94.0,7.03
APLJSSOXDWUNGV-SFHVURJKSA-N,ERa,37.0,7.43
APLJSSOXDWUNGV-SFHVURJKSA-N,ERb,1582.0,5.8
APLJSSOXDWUNGV-UHFFFAOYSA-N,ERa,1.0,9.0
APLJSSOXDWUNGV-UHFFFAOYSA-N,ERb,78.0,7.11
APNBSJGIIWSWOI-UHFFFAOYSA-N,AR,163.0,6.79
APOHFDLELFKYGJ-OSULZROHSA-N,ERa,7.1,8.15
APOKJMJRSRBMEF-UHFFFAOYSA-N,PR,9.0,8.05
APPWKMITVMBLGJ-JOCHJYFZSA-N,MR,9.0,8.05
APPWKMITVMBLGJ-JOCHJYFZSA-N,PR,2720.0,5.57
APRXGOORLSVCDR-ONQIKCEGSA-N,ERa,48.4,7.32
APTRCSYUVHJRJR-UHFFFAOYSA-N,ERb,2709.22,5.57
APTXPXVAHRXNAT-HVETUWLQSA-N,AR,4.5,8.425
APXWCUZVTWZDSJ-UHFFFAOYSA-N,ERa,422.0,6.38
APXWCUZVTWZDSJ-UHFFFAOYSA-N,ERb,7.0,8.15
AQDBHWCJEXNMMR-SFHVURJKSA-N,PR,8.0,8.1
AQINTCRDTNJHQD-NRFANRHFSA-N,GR,49.5,7.3149999999999995
AQPPCKBTCIQHBJ-UHFFFAOYSA-N,AR,54.0,7.27
AQSBEEWBLQXYER-MRVPVSSYSA-N,AR,9.4,8.03
AQSBEEWBLQXYER-QMMMGPOBSA-N,AR,109.0,6.96
AQSSOHCJSACXEG-AYRHNUGRSA-N,GR,16.0,7.8
AQWHLYFYMSUYAX-UHFFFAOYSA-N,AR,880.0,6.06
AQWOBUNPESIEIX-UHFFFAOYSA-N,GR,71.0,7.7749999999999995
AQXQRDYYRXDNGM-GVRKOPHQSA-N,GR,32.5,7.65
ARAFJNZXJVLHDR-UHFFFAOYSA-N,GR,22.0,7.66
ARAFJNZXJVLHDR-UHFFFAOYSA-N,MR,500.0,6.3
ARAFJNZXJVLHDR-UHFFFAOYSA-N,PR,280.0,6.55
ARAVJEDSAIPJMV-UHFFFAOYSA-N,ERa,710.0,6.15
ARAVJEDSAIPJMV-UHFFFAOYSA-N,ERb,267.0,6.57
ARBYGDBJECGMGA-UHFFFAOYSA-N,AR,16.0,7.8
ARBYGDBJECGMGA-UHFFFAOYSA-N,PR,1000.0,6.0
ARCGSTOFFXSCJR-UHFFFAOYSA-N,ERa,44689.26,4.35
ARCGSTOFFXSCJR-UHFFFAOYSA-N,ERb,21147.22,4.67
ARDGKRAEEBANRD-UHFFFAOYSA-N,ERa,27569.0,4.56
ARDGKRAEEBANRD-UHFFFAOYSA-N,ERb,515.0,6.29
ARDKBOYBRBHJCL-UHFFFAOYSA-N,AR,2698.0,5.57
ARDKBOYBRBHJCL-UHFFFAOYSA-N,GR,6812.0,5.17
ARDKBOYBRBHJCL-UHFFFAOYSA-N,PR,914.4,6.645
AREYSUDVVBFZLI-VLVUKAIRSA-N,ERa,63052.0,4.2
ARGUEPADMHUSFC-UHFFFAOYSA-N,ERa,3815.5,5.925
ARGUEPADMHUSFC-UHFFFAOYSA-N,ERb,2483.5,5.96
ARJGHPDXAXFKDW-RISCZKNCSA-N,AR,43.0,7.37
ARJGHPDXAXFKDW-SMDDNHRTSA-N,AR,60.0,7.22
ARJGHPDXAXFKDW-UHFFFAOYSA-N,AR,58.0,7.24
ARPCLDLOZVEXFP-UHFFFAOYSA-N,ERa,4590.0,5.34
ARPCLDLOZVEXFP-UHFFFAOYSA-N,ERb,310.0,6.51
ARQDNUCTLULQBK-UHFFFAOYSA-N,ERa,10649.0,4.97
ARQDNUCTLULQBK-UHFFFAOYSA-N,ERb,7305.0,5.14
ARTRSUNPGSVXOL-LCYFTJDESA-N,ERa,17505.98,4.76
ARTSOPNFUGOZHC-HHHXNRCGSA-N,MR,3000.0,5.52
ARTZLFGRBPRUSQ-CASJYSRLSA-N,AR,430.0,6.37
ARUPPRMAGGCRJE-UHFFFAOYSA-N,ERa,783.0,6.11
ARUPPRMAGGCRJE-UHFFFAOYSA-N,ERb,36.0,7.44
ARVVPZPVJIHPFU-KTZQPTSUSA-N,ERa,110.0,6.96
ARYRCHIHSOBFPW-UHFFFAOYSA-N,ERa,201.0,7.04
ARYRCHIHSOBFPW-UHFFFAOYSA-N,ERb,180.0,6.75
ARZNLQCBMDYYDU-CVEARBPZSA-N,ERa,16.0,7.8
ARZNLQCBMDYYDU-CVEARBPZSA-N,ERb,26.0,7.58
ARZNLQCBMDYYDU-HOTGVXAUSA-N,ERa,0.11,9.96
ARZNLQCBMDYYDU-HOTGVXAUSA-N,ERb,0.61,9.21
ASBUXVKPNDZGBC-UHFFFAOYSA-N,GR,15.85,7.8
ASDXIYXXKOHKBW-UHFFFAOYSA-N,AR,5400.0,5.27
ASJZYIPIDVKSPH-UHFFFAOYSA-N,ERa,344.0,6.46
ASJZYIPIDVKSPH-UHFFFAOYSA-N,ERb,23.0,7.64
ASQAQOZQDFZKPX-LTWGHEKMSA-N,GR,5.7,8.24
ASQNWMRHCDGUAB-UHFFFAOYSA-N,ERa,14.0,7.85
ASQNWMRHCDGUAB-UHFFFAOYSA-N,ERb,37.0,7.43
ASTUWCXOBKTYSR-CRICUBBOSA-N,MR,300.0,6.52
ATBNSMDRGWOUCT-UHFFFAOYSA-N,GR,8.0,8.41
ATDPSUIIYYUMNQ-UHFFFAOYSA-N,GR,400.0,6.4
ATLNPKJXZVIDSL-UHFFFAOYSA-N,MR,920.0,6.04
ATMAXGYHJNCXIR-UHFFFAOYSA-N,ERa,1047.0,5.98
ATMAXGYHJNCXIR-UHFFFAOYSA-N,ERb,23.0,7.64
ATTRNIIVHKTCGI-IAPPQJPRSA-N,ERa,2.0,8.7
ATTRNIIVHKTCGI-IAPPQJPRSA-N,ERb,46.2,7.33
ATYYTHXVWORGDP-UHFFFAOYSA-N,AR,6100.0,5.21
ATZTZRROXVCITC-GKVSMKOHSA-N,GR,60.0,7.22
AUBNMBTYWOGQSO-DEEMMSLNSA-N,ERa,1.3,8.89
AUBNMBTYWOGQSO-DEEMMSLNSA-N,ERb,21.0,7.68
AUBZQPZCKXOXRO-UHFFFAOYSA-N,AR,1.2590000000000001,8.9
AUDMXKQQALSKPO-GZXKPOFPSA-N,AR,1.15,8.945
AUDNGGNJSXQFMO-UHFFFAOYSA-N,AR,29.0,7.54
AUGATXQNUDVPAJ-UHFFFAOYSA-N,ERa,18.5,7.73
